Name,Frequency,Variants,Confidence_Level
You Know We'Re,133,You; You Know; You Know We We; Know; We'Re; Re,High
Sweetser Yes,132,Sweetser,High
Ezzell,131,Ezzell Please; Ezzell Is There Any; Ezzell Next We'Re; Ezzell No; Ezzell That,High
Because,129,Because That; Because It; Because Then; Be; You Life Just Because; Because There Is No; Padilla Because; Right Because; Because You Know This; Rodriguez Because; Russell Because; Because He; Supports This Bill Because; At Because It; Martinez Because,High
Mentioned,125,Tolman Mentioned During His; Mentioned That; Had Mentioned; Hernandez Just Mentioned That; Schardin Clarke Mentioned We; As You Mentioned This; Chardon Clark Mentioned; Mentioned We Are Working; Chatfield Mentioned; Mentioned Before; Mentioned In Her State; Chandler Mentioned; You Mentioned That You; Garrett Mentioned; Props Mentioned; You Mentioned; Padilla Mentioned; Hernandez Mentioned; Mentioned It; Charlie Mentioned; Campos Mentioned; Mentioned You Know This; Brandt Mentioned; Mentioned About Family Income; Stuart Mentioned; Woods Mentioned; Mentioned Earlier; Men; Mentioned Section; Garcia Mentioned,High
Ingle,123,Ingle Are You There; Ingle Yes; Ingle No,High
All Right,120,All; All Right Let; Right; All Right So; All Right We'Re; All Right Anyone Else,High
Neville We'Re Going,120,Neville,High
Brent,116,Brent Yes,High
Thompson Here,115,Thompson,High
Murphy,115,Murphy Here,High
Now,112,Right Now; Armstrong Now; Now That; Dow Now; Now Let; Now It; Right Now It; Now We'Ll Go; Espinoza We Will Now; Griggs Now; Kernan Now; Nancy Right Now; Solomon We Will Now; Espinoza Now We Will; We Will Now Move; We Will Now Hear; For Now; Kernan We Will Now; Wilkinson We Will Now; Rodriguez Now; Candelaria Has Now Taken; Things Are Different Now; Okay Now We'Ll; Penske Now; Rehm Now; Cook Now; Now We'Re Happy; Duhigg Now,High
Castellano,108,Castellano Next We'Re; Castellano Is There Any; Castellano Yes; Castellano For The Second; Castellano This,High
Worth,108,Worth Here; Worth Yes; Worth Is Excused; Wort; Worth Excused; Worth So,High
Madrid,107,Madrid Yes; Madrid Please,High
Parajon,104,Parejon; Parajan; Parajun; Paramon; Para,High
Candelaria,103,Candelaria You Know; Candelaria Yes; Candelaria That,High
For Bringing This Forward,102,For Bringing This; Bring,High
Luhan,101,Luhan Yes; Luhan And Then Represent; Luhan And Then Vice; Tara Luhan,High
Doo,101,Doo And Then Vice; Doohe,High
Stefani,100,Stefanik; Stefanics; Stefaniks; Stefanis; Stefanics Yes; Stefanics No; Stefanics For Bringing This; Stefanics That; Stefano; Stefanics Welcome; Stefanik Says,High
Roybal Caballero,100,Roybal Caballero If You; Roybal; Roybal Caballero Yes; Roybal Caballero Please; Roybal Caballero Is There,High
Ely,100,Ely For Bringing This; Ely Yes,High
Stapleton,99,Stapleton Please; Stapleton Yes; Stapleton For Bringing This; Stapleton If You Would,High
