bill_id,bill_type,full_name,frequency,num_transcripts,variants
HB 125,HB,House Bill,8,8,"HB 125; House Bill
125; House Bill 125"
HB 453,HB,House Bill,8,8,"HB
453; HB 453; House Bill
453; House Bill 453; house Bill 453"
HB 448,HB,House Bill,8,8,"HB 448; House Bill
448; House Bill 448; house Bill 448"
HB 52,HB,House Bill,8,8,"HB 52; House Bill
52; House Bill 52"
SB 317,SB,Senate Bill,8,8,"SB
317; SB 317; Senate Bill 317; Senate bill 317"
HB 42,HB,House Bill,8,8,"HB
42; HB 42; House Bill 42"
SB 93,SB,Senate Bill,8,8,"SB
93; SB 93; Senate Bill
93; Senate Bill 93"
HB 177,HB,House Bill,8,8,"HB
177; HB 177; House Bill
177; House Bill 177; house Bill 177"
HB 82,HB,House Bill,8,8,"HB
82; HB 82; House Bill
82; House Bill 82"
HB 315,HB,House Bill,8,8,"HB 315; House Bill
315; House Bill 315"
SB 300,SB,Senate Bill,8,8,"Senate Bill
300; Senate Bill 300"
HB 271,HB,House Bill,8,8,"House Bill 271; house Bill
271; house Bill 271"
HB 288,HB,House Bill,8,8,"HB 288; House Bill
288; House Bill 288; house Bill
288; house Bill 288"
HB 40,HB,House Bill,8,8,"HB 40; House Bill
40; House Bill 40"
HB 426,HB,House Bill,8,8,"HB
426; HB 426; House Bill
426; House Bill 426"
HB 111,HB,House Bill,8,8,"HB 111; House Bill
111; House Bill 111"
HB 494,HB,House Bill,8,8,"HB 494; House Bill
494; House Bill 494"
HJR 1,HJR,House Joint Resolution,8,8,"HJR1; House Joint Resolution
1; House Joint Resolution 1; House Joint resolution 1"
SB 144,SB,Senate Bill,8,8,"SB 144; Senate Bill
144; Senate Bill 144"
HB 339,HB,House Bill,8,8,"HB
339; HB 339; House Bill
339; House Bill 339; House bill 339"
SB 230,SB,Senate Bill,8,8,"SB 230; Senate Bill
230; Senate Bill 230; Senate bill
230; Senate bill 230"
HB 226,HB,House Bill,8,8,"HB
226; HB 226; House Bill 226; house Bill 226"
SB 212,SB,Senate Bill,8,8,"SB
212; SB 212; Senate Bill
212; Senate Bill 212"
SB 259,SB,Senate Bill,8,8,"SB
259; SB 259; Senate Bill
259; Senate Bill 259; Senate bill 259"
HB 586,HB,House Bill,8,8,"HB 586; House Bill
586; House Bill 586"
HB 32,HB,House Bill,8,8,"HB
32; HB 32; House Bill
32; House Bill 32; house bill
32"
HB 238,HB,House Bill,8,8,"HB 238; House Bill
238; House Bill 238"
SJR 3,SJR,Senate Joint Resolution,8,8,"SJR 3; SJR3; Senate Joint resolution
3; Senate Joint resolution 3; Senate joint resolution 3"
SB 235,SB,Senate Bill,8,8,"SB 235; Senate Bill
235; Senate Bill 235"
SB 38,SB,Senate Bill,8,8,"SB
38; SB 38; Senate Bill
38; Senate Bill 38; Senate bill 38"
HB 213,HB,House Bill,8,8,"HB
213; HB 213; House Bill
213; House Bill 213; hb 213"
HB 81,HB,House Bill,8,8,"HB
81; HB 81; House Bill
81; House Bill 81; house Bill
81"
HB 74,HB,House Bill,8,8,"HB 74; House Bill
74; House Bill 74"
HB 76,HB,House Bill,8,8,"HB 76; House Bill 76; house Bill
76"
HB 116,HB,House Bill,8,8,"House Bill
116; House Bill 116; house Bill
116"
HB 505,HB,House Bill,8,8,"HB 505; House Bill
505; House Bill 505; house Bill 505"
SB 168,SB,Senate Bill,8,8,"SB 168; Senate Bill
168; Senate Bill 168; Senate bill 168"
HB 302,HB,House Bill,8,8,"HB 302; House Bill
302; House Bill 302; house Bill
302; house Bill 302"
HB 84,HB,House Bill,8,8,"HB
84; HB 84; House Bill
84; House Bill 84"
HB 87,HB,House Bill,8,8,"House Bill
87; House Bill 87"
HB 38,HB,House Bill,8,8,"HB 38; House Bill
38; House Bill 38"
HB 124,HB,House Bill,8,8,"HB
124; House Bill 124"
HB 31,HB,House Bill,8,8,"HB 31; House Bill
31; House Bill 31"
