bill_id,bill_type,transcript_file
SB 376,SB,House-AppropriationsandFinance_Monday_Mar17_2025_655PM-802PM - 2025-09-12.cc.txt
SB 376,SB,Senate-Tax_BusinessandTransportation_Tuesday_Feb25_2025_419PM-645PM - 2025-09-12.cc.txt
SB 376,SB,Senate-Finance_Friday_Mar7_2025_959AM-1032AM - 2025-09-12.cc.txt
SB 376,SB,Senate-Finance_Saturday_Mar15_2025_942AM-1206PM - 2025-09-12.cc.txt
SB 376,SB,Senate-Finance_Tuesday_Mar4_2025_904AM-1207PM - 2025-09-12.cc.txt
SB 376,SB,Senate-Finance_Wednesday_Mar5_2025_911AM-1040AM - 2025-09-12.cc.txt
SB 376,SB,House-ChamberMeeting_Friday_Mar21_2025_1036AM-513PM - 2025-09-12.cc.txt
SB 376,SB,House-ChamberMeeting_Saturday_Mar15_2025_1253PM-801PM - 2025-09-12.cc.txt
SB 376,SB,House-ChamberMeeting_Tuesday_Mar11_2025_1057AM-920PM - 2025-09-12.cc.txt
SB 376,SB,House-ChamberMeeting_Tuesday_Mar18_2025_1203PM-642PM - 2025-09-12.cc.txt
SB 376,SB,House-ChamberMeeting_Wednesday_Mar12_2025_1030AM-712PM - 2025-09-12.cc.txt
SB 376,SB,House-Government_ElectionsAndIndianAffairs_Saturday_Mar15_2025_1116AM-1145AM - 2025-09-12.cc.txt
SB 376,SB,IC-LegislativeEducationStudy_Thursday_Jun26_2025_128PM-238PM - 2025-09-12.cc.txt
SB 376,SB,SenateChamber_Tuesday_Mar11_2025_1136AM-311PM - 2025-09-12.cc.txt
HB 193,HB,House-AppropriationsandFinance_Thursday_Feb1_2024_422PM-638PM - 2025-09-12.cc.txt
HB 193,HB,House-Education_Wednesday_Feb5_2025_1002AM-1016AM - 2025-09-12.cc.txt
HB 193,HB,Senate-Education_Friday_Mar7_2025_840AM-1026AM - 2025-09-12.cc.txt
HB 193,HB,House-ChamberMeeting_Thursday_Feb20_2025_1043AM-454PM - 2025-09-12.cc.txt
HB 193,HB,House-ChamberMeeting_Thursday_Feb6_2025_1057AM-133PM - 2025-09-12.cc.txt
HB 193,HB,House-ChamberMeeting_Tuesday_Feb18_2025_1031AM-330PM - 2025-09-12.cc.txt
HB 193,HB,House-ChamberMeeting_Wednesday_Jan29_2025_1040AM-1259PM - 2025-09-12.cc.txt
HB 193,HB,Senate-Rules_Monday_Mar3_2025_836AM-1015AM - 2025-09-12.cc.txt
HB 193,HB,House-Government_ElectionsAndIndianAffairs_Saturday_Feb15_2025_1005AM-1239PM - 2025-09-12.cc.txt
HB 193,HB,HouseChamber_Tuesday_Feb13_2024_549PM-1045PM - 2025-09-12.cc.txt
HB 193,HB,SenateChamber_Thursday_Feb15_2024_915AM-1218PM - 2025-09-12.cc.txt
HB 193,HB,SenateChamber_Tuesday_Feb13_2024_551PM-1133PM - 2025-09-12.cc.txt
HB 193,HB,HouseChamber_Friday_Feb2_2024_1107AM-458PM - 2025-09-12.cc.txt
HB 193,HB,HouseChamber_Saturday_Feb3_2024_1130AM-317AM - 2025-09-12.cc.txt
SB 220,SB,House-AppropriationsandFinance_Thursday_Mar20_2025_1043PM-1224AM - 2025-09-12.cc.txt
SB 220,SB,Senate-Finance_Wednesday_Feb19_2025_401PM-603PM - 2025-09-12.cc.txt
SB 220,SB,Senate-Finance_Wednesday_Feb5_2025_909AM-1014AM - 2025-09-12.cc.txt
SB 220,SB,House-Judiciary_Monday_Mar17_2025_659PM-1008PM - 2025-09-12.cc.txt
SB 220,SB,Senate-Judiciary_Monday_Feb3_2025_219PM-536PM - 2025-09-12.cc.txt
SB 220,SB,Senate-Judiciary_Wednesday_Feb5_2025_324PM-533PM - 2025-09-12.cc.txt
SB 220,SB,House-ChamberMeeting_Friday_Mar21_2025_1036AM-513PM - 2025-09-12.cc.txt
SB 220,SB,House-ChamberMeeting_Tuesday_Feb25_2025_1048AM-447PM - 2025-09-12.cc.txt
SB 220,SB,House-ChamberMeeting_Tuesday_Mar18_2025_1203PM-642PM - 2025-09-12.cc.txt
SB 220,SB,House-ChamberMeeting_Wednesday_Feb26_2025_1039AM-1244PM - 2025-09-12.cc.txt
SB 220,SB,SenateChamber_Friday_Jan31_2025_1105AM-1212PM - 2025-09-12.cc.txt
SB 220,SB,SenateChamber_Monday_Feb24_2025_1110AM-311PM - 2025-09-12.cc.txt
SB 220,SB,SenateChamber_Thursday_Feb6_2025_1107AM-1226PM - 2025-09-12.cc.txt
SB 220,SB,SenateChamber_Tuesday_Feb25_2025_1116AM-331PM - 2025-09-12.cc.txt
SB 216,SB,House-AppropriationsandFinance_Tuesday_Feb13_2024_236PM-342PM - 2025-09-12.cc.txt
SB 216,SB,Senate-HealthandPublicAffairs_Sunday_Mar2_2025_106PM-632PM - 2025-09-12.cc.txt
SB 216,SB,HouseChamber_Monday_Feb12_2024_1105AM-234PM - 2025-09-12.cc.txt
SB 216,SB,HouseChamber_Tuesday_Feb13_2024_549PM-1045PM - 2025-09-12.cc.txt
SB 216,SB,HouseChamber_Wednesday_Feb14_2024_513PM-837PM - 2025-09-12.cc.txt
SB 216,SB,IC-NewMexicoFinanceAuthorityOversight_Monday_Aug12_2024_1012AM-1157AM - 2025-09-12.cc.txt
SB 216,SB,IC-NewMexicoFinanceAuthorityOversight_Thursday_May9_2024_131PM-253PM - 2025-09-12.cc.txt
SB 216,SB,IC-NewMexicoFinanceAuthorityOversight_Wednesday_Jul3_2024_857AM-1151AM - 2025-09-12.cc.txt
SB 216,SB,Other-NMFA_Thursday_Jun27_2024_859AM-1049AM - 2025-09-12.cc.txt
SB 216,SB,Other-NMFA_Thursday_May23_2024_201PM-251PM - 2025-09-12.cc.txt
SB 216,SB,Other-NMFA_Thursday_Sep26_2024_916AM-1147AM - 2025-09-12.cc.txt
SB 216,SB,SenateChamber_Monday_Mar3_2025_1139AM-418PM - 2025-09-12.cc.txt
SB 216,SB,SenateChamber_Thursday_Jan30_2025_111PM-218PM - 2025-09-12.cc.txt
SB 216,SB,SenateChamber_Wednesday_Feb14_2024_639PM-926PM - 2025-09-12.cc.txt
SB 10,SB,House-AppropriationsandFinance_Tuesday_Feb13_2024_236PM-342PM - 2025-09-12.cc.txt
SB 10,SB,Senate-Conservation_Thursday_Feb13_2025_905AM-1246PM - 2025-09-12.cc.txt
SB 10,SB,Senate-Tax_BusinessandTransportation_Thursday_Feb6_2025_137PM-558PM - 2025-09-12.cc.txt
SB 10,SB,Senate-Education_Friday_Jan31_2025_901AM-1054AM - 2025-09-12.cc.txt
SB 10,SB,Senate-Education_Wednesday_Jan29_2025_904AM-1056AM - 2025-09-12.cc.txt
SB 10,SB,Senate-HealthandPublicAffairs_Monday_Feb24_2025_358PM-613PM - 2025-09-12.cc.txt
SB 10,SB,Senate-Judiciary_Saturday_Mar8_2025_507PM-814PM - 2025-09-12.cc.txt
SB 10,SB,House-ChamberMeeting_Tuesday_Mar18_2025_1203PM-642PM - 2025-09-12.cc.txt
SB 10,SB,Senate-Rules_Monday_Jan29_2024_810AM-1049AM - 2025-09-12.cc.txt
SB 10,SB,IC-InvestmentsandPensionsOversight_Wednesday_Aug13_2025_122PM-436PM - 2025-09-12.cc.txt
SB 10,SB,SenateChamber_Monday_Feb3_2025_1114AM-115PM - 2025-09-12.cc.txt
SB 10,SB,SenateChamber_Thursday_Jul18_2024_1207PM-142PM - 2025-09-12.cc.txt
SB 10,SB,SenateChamber_Tuesday_Feb11_2025_1141AM-1235PM - 2025-09-12.cc.txt
SB 10,SB,SenateChamber_Tuesday_Jan21_2025_400PM-448PM - 2025-09-12.cc.txt
HB 192,HB,House-AppropriationsandFinance_Wednesday_Mar5_2025_322PM-432PM - 2025-09-12.cc.txt
HB 192,HB,Senate-Tax_BusinessandTransportation_Saturday_Mar15_2025_912AM-1246PM - 2025-09-12.cc.txt
HB 192,HB,House-HealthandHumanServices_Wednesday_Jan31_2024_834AM-1029AM - 2025-09-12.cc.txt
HB 192,HB,House-ChamberMeeting_Monday_Mar10_2025_1038AM-433PM - 2025-09-12.cc.txt
HB 192,HB,House-ChamberMeeting_Thursday_Mar6_2025_1102AM-731PM - 2025-09-12.cc.txt
HB 192,HB,House-ChamberMeeting_Tuesday_Mar18_2025_1203PM-642PM - 2025-09-12.cc.txt
HB 192,HB,House-ChamberMeeting_Wednesday_Feb19_2025_1033AM-135PM - 2025-09-12.cc.txt
HB 192,HB,House-ChamberMeeting_Wednesday_Jan29_2025_1040AM-1259PM - 2025-09-12.cc.txt
HB 192,HB,House-ChamberMeeting_Wednesday_Mar19_2025_1230PM-934PM - 2025-09-12.cc.txt
HB 192,HB,House-Government_ElectionsAndIndianAffairs_Wednesday_Feb19_2025_831AM-1028AM - 2025-09-12.cc.txt
HB 192,HB,SenateChamber_Monday_Mar10_2025_1114AM-504PM - 2025-09-12.cc.txt
HB 192,HB,SenateChamber_Tuesday_Mar18_2025_1146AM-143PM - 2025-09-12.cc.txt
HB 192,HB,SenateChamber_Wednesday_Mar19_2025_1240PM-404PM - 2025-09-12.cc.txt
HB 192,HB,HouseChamber_Wednesday_Jan31_2024_1108AM-601PM - 2025-09-12.cc.txt
HB 281,HB,House-CommerceandEconomicDevelopment_Friday_Feb28_2025_339PM-603PM - 2025-09-12.cc.txt
HB 281,HB,Senate-Tax_BusinessandTransportation_Thursday_Mar13_2025_259PM-525PM - 2025-09-12.cc.txt
HB 281,HB,Senate-Judiciary_Saturday_Mar15_2025_537PM-832PM - 2025-09-12.cc.txt
HB 281,HB,House-ChamberMeeting_Saturday_Mar1_2025_100PM-807PM - 2025-09-12.cc.txt
